Item
POW Block
Icicle Pop
Fright Mask
Spicy Soup
Ink Pasta
Couples Cake
Point Swap
Space Food
Ultra Shroom
Golden Leaf
Cake Mix
Courage Shell
Courage Meal
Thunder Bolt
Thunder Rage
Koopa Tea
Turtley Leaf
Koopasta
[Koopa Curse]
Koopa Bun
Spicy Pasta
Omelette Meal
Mushroom
Shroom Fry
Shroom Crepe
Shroom Cake
Shroom Steak
Shroom Roast
Shooting Star
Gold Bar
Gold Bar x 3
Life Shroom
Dizzy Dial
[Cake]
Shroom Broth
Ice Storm
Coconut Bomb
Coco Candy
Spite Pouch
Mistake
Dried Shroom
Inn Coupon
Choco Cake
Trial Stew
Slow Shroom
Gradual Syrup
Super Shroom
HP Drain
Tasty Tonic
Stopwatch
Spaghetti
Inky Sauce
Whacka Bump
Horsetail
[Trade Off]
Repel Cape
Boos Sheet
Power Punch
Keel Mango
Poison Shroom
Dried Bouquet
Mystery
Zess Cookie
Zess Special
Zess Dynamite
Zess Tea
Zess Dinner
Zess Deluxe
Zess Frappe
Sleepy Sheep
Love Pudding
Honey Candy
Honey Shroom
Honey Super
Honey Ultra
Honey Syrup
Egg Bomb
Volt Shroom
Electro Pop
Peach Tart
Peachy Peach
Fire Pop
Fire Flower
Mystic Egg
Mr. Softener
Fruit Parfait
Fresh Juice
Healthy Salad
Meteor Meal
Hot Dog
Ruin Powder
Mango Delight
Mini Mr. Mini
Mousse Cake
Maple Shroom
Maple Super
Maple Ultra
Maple Syrup
Fried Egg
Heartful Cake
Coconut
Snow Bunny
Earth Quake
Hot Sauce
Jelly Shroom
Jelly Super
Jelly Ultra
Jelly Candy
Jammin Jelly
Fresh Pasta
