Item
[Koopa Curse]
Mushroom
Super Shroom
Ultra Shroom
Life Shroom
Slow Shroom
Dried Shroom
Honey Syrup
Maple Syrup
Jammin Jelly
Gradual Syrup
Tasty Tonic
POW Block
Fire Flower
Ice Storm
Earth Quake
Thunder Bolt
Thunder Rage
Shooting Star
Volt Shroom
Repel Cape
Boos Sheet
Ruin Powder
Sleepy Sheep
Dizzy Dial
Stopwatch
Power Punch
Mini Mr. Mini
Courage Shell
Mr. Softener
[Trade Off]
HP Drain
Point Swap
Fright Mask
Mystery
Inn Coupon
Gold Bar
Gold Bar x 3
Whacka Bump
Hot Dog
[Cake]
Coconut
Dried Bouquet
Mystic Egg
Golden Leaf
Keel Mango
Fresh Pasta
Cake Mix
Hot Sauce
Turtley Leaf
Horsetail
Peachy Peach
Spite Pouch
Shroom Fry
Shroom Roast
Shroom Steak
Honey Shroom
Maple Shroom
Jelly Shroom
Honey Super
Maple Super
Jelly Super
Honey Ultra
Maple Ultra
Jelly Ultra
Zess Dinner
Zess Special
Zess Deluxe
Spaghetti
Koopasta
Spicy Pasta
Ink Pasta
Spicy Soup
Fried Egg
Omelette Meal
Koopa Bun
Healthy Salad
Meteor Meal
Couples Cake
Mousse Cake
Shroom Cake
Choco Cake
Heartful Cake
Fruit Parfait
Mango Delight
Love Pudding
Zess Cookie
Shroom Crepe
Peach Tart
Koopa Tea
Zess Tea
Shroom Broth
Fresh Juice
Inky Sauce
Icicle Pop
Zess Frappe
Snow Bunny
Coco Candy
Honey Candy
Jelly Candy
Electro Pop
Fire Pop
Space Food
Poison Shroom
Trial Stew
Courage Meal
Coconut Bomb
Egg Bomb
Zess Dynamite
Mistake
